id,nome,preco,categoria,marca,imagem,descricao_resumida,descricao_completa,estoque
BRAND_001,Brand Collection 001 - Inspiração Allure - 25 ml,"85,88",Brand Collection,,008-001-allure.png,,,5
BRAND_003,Brand Collection 003 Inspiração CH Fem - 25ml,"85,88",Brand Collection,,009-003-ch-fem-25ml.png,,,0
BRAND_004,Brand Collection 004 Inspiração Ch men - 25ml,"85,88",Brand Collection,,108-004-ch-men-25ml.png,,,5
BRAND_005,Brand Collection 005 - Inspiração One Million - 25ml,"79,10",Brand Collection,,067-005-one-million-25ml.png,,,5
BRAND_007,Brand Collection 007 - Inspiração J'adore - 25ml,"79,10",Brand Collection,,010-007-jadore-25ml.png,,,5
BRAND_008,Brand Collection 008 - Inspiração 212 Vip Men - 25ml,"79,10",Brand Collection,,011-008-212-vip-men-25ml.png,,,5
BRAND_009,Brand Collection 009 - Inspiração 212 Vip - 25ml,"79,10",Brand Collection,,,,,0
BRAND_012,Brand Collection 012 - Inspiração La vie - 25ml,"79,10",Brand Collection,,068-012-la-vie-est-belle-25ml.png,,,5
BRAND_014,Brand Collection 014 - Inspiração Miss Eau de Toillete - 25ml,"79,10",Brand Collection,,013-014-miss-dior-edt-25ml.png,,,5
BRAND_015,Brand Collection 015 - Inspiração Miss Tradicional - 25ml,"79,10",Brand Collection,,014-015-miss-dior-25ml.png,,,5
BRAND_017,Brand Collection 017 - Inspiração Nina - 25ml,"85,88",Brand Collection,,015-017-nina-ricci.png,,,0
BRAND_021,Brand Collection 021 Inspiração Coco mademoiselle - 25ml,"79,10",Brand Collection,,069-021-coco-mademoiselle-25ml.png,,,5
BRAND_023,Brand Collection 023 Inspiração Versace Crystal Noir - 25ml,"85,88",Brand Collection,,109-023-versace-crystal-noir-25ml.png,,,0
BRAND_024,Brand Collection 024 - Inspiração Versace Crystal Bright - 25ml,"85,88",Brand Collection,,110-024-versace-crystal-bright.png,,,0
BRAND_026,Brand Collection 026 - Inspiração Irresistible - 25ml,"90,40",Brand Collection,,017-026-givenvhy-irresistiblle-25ml.png,,,5
BRAND_027,Brand Collection 027 Inspiração Hypnotic Poison - 25ml,"79,10",Brand Collection,,018-027-hypnotic-poison-25ml.png,,,5
BRAND_034,Brand Collection 034 - Inspiração 212 Vip Rose - 25ml,"79,10",Brand Collection,,070-034-212-vip-rose-25ml.png,,,5
BRAND_046,Brand Collection 046 Inspiração Mademoiselle Ricci - 25ml,"85,88",Brand Collection,,111-046-mademoseille-ricci-25ml.png,,,5
BRAND_055,Brand Collection 055 - Inspiração Black Opium - 25ml,"85,88",Brand Collection,,112-055-black-opium-25ml.png,,,5
BRAND_070,Brand Collection 070 - Inspiração Bleu de Chanel -25 ml,"79,10",Brand Collection,,071-070-bleu-de-chanel-25ml.png,,,0
BRAND_084,Brand Collection 084 - Inspiração Legend Montblanc - 25ml,"85,88",Brand Collection,,096-084-montblanc-legend-25ml.png,,,0
BRAND_094,Brand Collection 094 - Inspiração Valentina Poudre - 25ml,"90,40",Brand Collection,,113-094-valentino-valentina-poudre-25ml.png,,,5
BRAND_095,Brand Collection 095 - Inspiração Gucci Bloom - 25ml,"90,40",Brand Collection,,188-095-gucci-bloom.png,,,0
BRAND_100,Brand Collection 100 - Inspiração Sauvage - 25ml,"79,10",Brand Collection,,072-100-sauvage-25ml.png,,,5
BRAND_105,Brand Collection 105 - Inspiração Lady Million - 25ml,"79,10",Brand Collection,,073-105-lady-million-25ml.png,,,5
BRAND_107,Brand Collection 107 - Inspiração Halloween Feminino - 25ml,"85,88",Brand Collection,,098-107-halloween-fem-25ml.png,,,0
BRAND_113,Brand Collection 113 - Inspiração Mon Guerlain - 25ml,"85,88",Brand Collection,,099-113-mon-guerlain.png,,,0
BRAND_115,Brand Collection 115 - Inspiração Miu Miu - 25ml,"85,88",Brand Collection,,114-115-miu-miu.png,,,0
BRAND_116,Brand Collection 116 - Inspiração Invictus - 25ml,"79,10",Brand Collection,,100-116-invictus-25ml.png,,,5
BRAND_128,Brand Collection 128 - Inspiração The Tragedy of Lord George - 25ml,"85,88",Brand Collection,,101-128-pengaligons-the-traged-25ml.png,,,5
BRAND_134,Brand Collection 134 - Inspiração Gabrielle - 25ml,"85,88",Brand Collection,,102-134-chanel-gabrielle-f-25ml.png,,,0
BRAND_136,Brand Collection 136 - Inspiração Scandal - 25ml,"79,10",Brand Collection,,074-136-scandal-25ml.png,,,0
BRAND_153,Brand Collection 153 - Inspiração Jean Paul Lê male - 25ml,"85,88",Brand Collection,,116-153-jpg-le-male-25ml.png,,,5
BRAND_159,Brand Collection 159 - Inspiração Libre - 25ml,"79,10",Brand Collection,,075-159-libre-25ml.png,,,5
BRAND_164,Brand Collection 164 - Inspiração Armani Code Masculino - 25ml,"85,88",Brand Collection,,117-164-armani-code-m-25ml.png,,,0
BRAND_165,Brand Collection 165 - Inspiração Armani Code Feminino - 25ml,"85,88",Brand Collection,,118-165-armani-code-fem-25ml.png,,,0
BRAND_175,Brand Collection 175 - Inspiração Azzaro Pour Homme - 25ml,"90,40",Brand Collection,,119-175-azzaro-m.png,,,0
BRAND_197,Brand Collection 197 - Inspiração Alien Flora - 25ml,"85,88",Brand Collection,,103-197-alien-flora-futura-f-25ml.png,,,5
BRAND_214,Brand Collection 214 - Inspiração Invictus Victory - 25ml,"79,10",Brand Collection,,,,,5
BRAND_224,Brand Collection 224 - Inspiração Dolce Gabanna King Men - 25ml,"85,88",Brand Collection,,121-224-d-g-king-25ml.png,,,5
BRAND_234,Brand Collection 234 - Inspiração Bvlgari Petits Et Mamans - 25ml,"79,10",Brand Collection,,000-234-bvlgari-petitis-et-mamans-25ml.png,,,5
BRAND_235,Brand Collection 235 - Inspiração Bvlgari Rose Goldea Blossom - 25ml,"85,88",Brand Collection,,104-235-bvlgari-rose-goldea-blossom.png,,,5
BRAND_246,Brand Collection 246 - Inspiração Burberry Her - 25ml,"79,10",Brand Collection,,076-246-burberry-her-25ml.png,,,5
BRAND_250,Brand Collection 250 - Inspiração Wanted boy - 25 ml,"85,88",Brand Collection,,122-250-azzaro-wanted-25ml.png,,,5
BRAND_253,Brand Collection 253 - Inspiração La Vie Est Belle L'Éclat - 25ml,"85,88",Brand Collection,,105-253-la-vie-eclat-25ml.png,,,0
BRAND_292,Brand Collection 292 - Inspiração La Vie Est Belle - 25ml,"90,40",Brand Collection,,124-292-la-vie-25ml.png,,,5
BRAND_294,Brand Collection 294 - Inspiração L'Interdit Rouge - 25ml,"90,40",Brand Collection,,125-294-linterdit-rouge-f-25ml.png,,,0
BRAND_295,Brand Collection 295 - Inspiração Cloud Ariana Grande - 25ml,"90,40",Brand Collection,,126-295-ariana-grande-cloud-25ml.png,,,5
BRAND_311,Brand Collection 311 - Inspiração Versace Eros Pour Femme - 25ml,"90,40",Brand Collection,,127-311-versace-eros-pour-femme.png,,,5
BRAND_320,Brand Collection 320 - Inspiração Chloé Naturelle - 25ml,"90,40",Brand Collection,,128-320-chloe-naturelle-25ml.png,,,0
BRAND_323,Brand Collection 323 - Inspiração JPG Le Male Elixir - 25ml,"90,40",Brand Collection,,129-323-jpg-le-male-elixir-25ml.png,,,5
BRAND_325,Brand Collection 325 - Inspiração JPG Le Male Le Parfum - 25ml,"90,40",Brand Collection,,130-325-jgp-le-male-parfum-25ml.png,,,5
BRAND_329,Brand Collection 329 - Inspiração Fame Couture - 25ml,"90,40",Brand Collection,,131-329-fame-couture-edp-25ml.png,,,0
BRAND_335,Brand Collection 334 - Inspiração My Way Floral - 25ml,"90,40",Brand Collection,,132-335-my-way-floral-25ml.png,,,0
BRAND_341,Brand Collection 341 - Inspiração Chloé Nomade - 25ml,"90,40",Brand Collection,,133-341-chloe-nomade-25ml.png,,,5
BRAND_366,Brand Collection 366 - Inspiração Angel Elixir - 25ml,"90,40",Brand Collection,,134-366-angel-elixir-25ml.png,,,0
BRAND_373,Brand Collection 373 - Inspiração Q by Dolce & Gabbana - 25ml,"90,40",Brand Collection,,135-373-queen-d-g-25ml.png,,,5
BRAND_384,Brand Collection 384 - Inspiração Miss Dior Blooming Bouquet - 25ml,"90,40",Brand Collection,,136-384-miss-dior-blooming-bouquet.png,,,0
BRAND_391,Brand Collection 391 - Inspiração Donna Born In Roma - 25ml,"85,88",Brand Collection,,159-391-valentino-born-in-roma-25ml.png,,,5
BRAND_420,Brand Collection 420 - Inspiração Bonnie Étoile Pink - 25ml,"90,40",Brand Collection,,137-420-bonnie-etoile-pink-25ml.png,,,0
BRAND_BODY_10,Body Splash Brand Shimmer Pure Seduction 250ml,"90,40",Brand Collection,,165-brand-body-splash-shimmer-pure-seduction-250ml.png,,,5
BRAND_BODY_11,Body Splash Brand Velvet Shimmer 250ml,"90,40",Brand Collection,,166-brand-body-splash-velvet-shimmer-250ml.png,,,5
BRAND_BODY_13,Brand Collection 007 - Inspiração J'adore - Body Splash,"101,70",Brand Collection,,190-body-splash-007-jadore.png,,,5
BRAND_BODY_14,Brand Collection 012 - Inspiração La Vie Est Belle - Body Splash,"101,70",Brand Collection,,191-body-splash-012-la-vie-est-belle.png,,,5
BRAND_BODY_15,Brand Collection 021 - Inspiração Coco Mademoiselle - Body Splash,"101,70",Brand Collection,,192-body-splash-021-coco-mademoiselle.png,,,5
BRAND_BODY_16,Brand Collection 034 - Inspiração 212 Vip Rosé - Body Splash,"101,70",Brand Collection,,193-body-splash-034-212-vip-rose.png,,,5
BRAND_BODY_17,Brand Collection 087 - Inspiração Olympéa - Body Splash,"101,70",Brand Collection,,194-body-splash-087-olympea.png,,,5
ARABE_24,Club De Nuit Intense Woman Edp 105ml,"330,00",Árabes,,507-club-de-nuit-intense-woman-edp-105ml.png,,,5
ARABE_29,Sabah Al Ward Valentine 100ml,"345,00",Árabes,,,,,5
ARABE_40,Hawas Fire 100ml,"375,00",Árabes,,539-hawas-fire-100ml.png,,,5
ARABE_46,Vulcan Feu 100ml,"435,00",Árabes,,,,,5
ARABE_51,Afeef 100ml,"570,00",Árabes,,613-afeef-100ml.png,,,0
